member_id,age,gender,balance,health_status,consumption_level
191,67,M,133000,poor,modest
192,68,F,705000,fair,comfortable
193,67,M,310000,good,modest
194,65,F,621000,good,modest
195,69,F,48000,fair,modest
196,65,F,274000,good,modest
197,65,M,181000,fair,modest
198,66,M,529000,fair,comfortable
199,70,M,188000,good,modest
200,68,M,362000,good,comfortable
201,67,M,456000,fair,modest
202,65,M,31000,good,modest
203,65,F,35000,good,comfortable
204,65,F,484000,good,modest
205,67,M,28000,good,modest
206,65,F,503000,fair,comfortable
207,65,F,107000,good,comfortable
208,65,F,771000,good,comfortable
209,65,F,111000,good,modest
210,65,M,223000,poor,comfortable
211,66,F,307000,fair,comfortable
212,68,M,154000,good,comfortable
213,68,F,124000,fair,comfortable
214,68,F,136000,good,modest
215,70,F,1504000,good,modest
216,65,M,71000,fair,modest
217,66,F,428000,poor,comfortable
218,69,F,176000,fair,modest
219,68,M,229000,good,comfortable
220,67,F,102000,good,modest
221,66,M,30000,good,comfortable
222,70,M,47000,fair,modest
223,68,F,105000,fair,comfortable
224,70,M,85000,fair,modest
225,67,F,95000,fair,modest
226,67,F,89000,good,comfortable
227,69,F,148000,fair,modest
228,66,M,469000,good,modest
229,69,M,1495000,poor,comfortable
230,66,M,95000,good,comfortable
231,67,F,51000,fair,comfortable
232,66,F,180000,fair,modest
233,67,M,159000,good,comfortable
234,67,M,60000,good,modest
235,65,F,55000,good,comfortable
236,69,M,67000,fair,modest
237,67,F,151000,poor,modest
238,68,M,609000,fair,comfortable
239,65,F,259000,fair,comfortable
240,67,F,149000,good,comfortable
241,68,F,230000,good,modest
242,66,F,44000,good,comfortable
243,69,M,127000,good,modest
244,65,F,59000,good,comfortable
245,69,F,66000,fair,modest
246,66,M,215000,good,modest
247,66,M,159000,good,comfortable
248,66,M,303000,good,comfortable
249,68,M,142000,fair,modest
250,65,M,211000,good,comfortable
251,65,M,735000,fair,modest
252,68,M,75000,good,modest
253,66,F,139000,fair,modest
254,67,F,262000,good,comfortable
255,67,M,35000,good,comfortable
256,67,M,1192000,fair,modest
257,70,F,1177000,fair,comfortable
258,65,M,356000,fair,modest
259,65,M,65000,good,comfortable
260,68,F,226000,good,modest
261,67,F,159000,good,comfortable
262,66,F,734000,fair,comfortable
263,65,M,80000,good,comfortable
264,65,F,30000,good,modest
265,68,M,135000,fair,modest
266,68,M,127000,fair,modest
267,65,F,144000,good,comfortable
268,65,M,324000,good,comfortable
269,67,M,59000,fair,modest
270,65,M,652000,good,comfortable
271,66,M,90000,poor,modest
272,67,M,464000,poor,modest
273,70,M,147000,poor,comfortable
274,69,M,236000,poor,comfortable
275,65,F,71000,good,modest
276,68,F,449000,fair,modest
277,69,M,615000,good,comfortable
278,65,F,102000,good,modest
279,70,M,64000,good,comfortable
280,65,M,84000,good,modest
281,67,M,145000,poor,modest
282,65,M,101000,fair,comfortable
283,67,F,135000,fair,modest
284,68,F,112000,good,comfortable
285,67,F,153000,good,modest
286,65,M,65000,good,modest
287,66,M,213000,good,modest
288,68,M,81000,fair,comfortable
289,66,F,79000,fair,comfortable
290,66,M,753000,fair,comfortable
291,67,F,266000,fair,modest
292,67,F,178000,good,modest
293,65,F,279000,good,comfortable
294,66,F,227000,fair,modest
295,69,M,351000,good,comfortable
296,65,F,35000,good,comfortable
297,66,M,334000,good,modest
298,67,F,78000,good,comfortable
299,69,M,293000,good,comfortable
300,67,M,406000,good,modest
301,68,F,113000,good,comfortable
302,69,M,228000,good,modest
303,69,M,322000,good,comfortable
304,69,M,24000,fair,comfortable
305,69,F,52000,good,comfortable
306,68,M,135000,good,modest
307,66,F,110000,poor,modest
308,67,F,88000,good,comfortable
309,66,M,88000,good,comfortable
310,67,F,225000,fair,comfortable
311,66,M,30000,good,comfortable
312,67,M,656000,good,comfortable
313,67,F,87000,fair,comfortable
314,66,F,648000,poor,modest
315,65,F,52000,fair,modest
316,66,F,105000,poor,modest
317,69,M,1200000,fair,modest
318,67,F,51000,good,comfortable
319,69,M,51000,good,modest
320,69,M,197000,good,comfortable
321,67,M,363000,fair,modest
322,65,F,26000,good,comfortable
323,70,F,312000,poor,modest
324,68,F,49000,poor,modest
325,65,M,200000,poor,modest
326,67,M,35000,fair,comfortable
327,65,F,385000,fair,modest
328,65,F,92000,good,modest
329,66,F,174000,good,modest
330,67,F,94000,good,modest
331,69,F,173000,good,modest
332,66,F,43000,good,modest
333,65,F,50000,fair,modest
334,66,F,449000,fair,comfortable
335,66,F,74000,poor,comfortable
336,67,F,145000,good,modest
337,66,M,48000,fair,modest
338,67,M,808000,fair,comfortable
339,67,F,112000,fair,modest
340,67,M,341000,poor,modest
341,66,F,211000,good,comfortable
342,67,M,305000,fair,modest
343,67,M,106000,poor,modest
344,65,F,156000,fair,comfortable
345,66,F,441000,good,modest
346,65,F,64000,good,modest
347,66,F,108000,good,modest
348,65,M,1032000,fair,modest
349,65,M,109000,fair,comfortable
350,66,F,36000,good,modest
351,65,M,262000,fair,modest
352,68,M,432000,good,comfortable
353,69,F,170000,fair,comfortable
354,66,M,893000,fair,comfortable
355,67,F,61000,good,comfortable
356,66,F,58000,good,comfortable
357,67,M,201000,good,modest
358,66,F,153000,fair,modest
359,66,M,374000,good,modest
360,66,F,812000,good,modest
361,68,F,345000,fair,modest
362,67,M,1784000,good,comfortable
363,66,F,376000,poor,comfortable
364,68,F,187000,fair,comfortable
365,65,F,82000,good,modest
366,67,F,57000,good,modest
367,70,M,283000,poor,comfortable
368,70,M,407000,fair,modest
369,68,M,764000,good,comfortable
370,66,F,121000,poor,modest
371,65,F,463000,poor,modest
372,68,F,614000,good,comfortable
373,65,F,161000,good,modest
374,68,F,80000,fair,modest
375,67,F,353000,good,comfortable
376,65,F,214000,fair,modest
377,65,M,287000,good,comfortable
378,66,F,52000,good,comfortable
379,65,M,196000,good,comfortable
380,67,F,130000,good,modest
381,65,M,330000,poor,modest
382,65,M,317000,fair,comfortable
383,66,F,1315000,good,modest
384,67,M,144000,good,modest
385,67,M,453000,fair,comfortable
386,66,M,217000,fair,modest
387,69,F,650000,good,comfortable
388,67,M,801000,good,comfortable
389,70,M,79000,good,modest
390,66,M,312000,good,comfortable
391,67,F,195000,good,modest
392,68,F,165000,fair,comfortable
393,65,M,680000,fair,modest
394,66,F,124000,good,comfortable
395,65,M,638000,good,comfortable
396,68,M,316000,good,comfortable
397,69,F,298000,good,comfortable
398,65,M,183000,good,comfortable
399,65,F,33000,fair,modest
400,65,F,328000,good,modest
401,70,F,552000,poor,comfortable
402,66,F,92000,good,modest
403,66,F,333000,fair,comfortable
404,65,M,189000,fair,modest
405,65,M,67000,good,comfortable
406,67,F,143000,good,comfortable
407,65,M,52000,good,modest
408,69,M,1120000,fair,modest
409,65,M,202000,poor,comfortable
410,69,F,578000,fair,comfortable
411,65,M,249000,poor,modest
412,66,F,772000,fair,modest
413,65,F,177000,good,modest
414,67,F,98000,good,modest
415,68,M,286000,fair,modest
416,65,F,93000,fair,modest
417,65,M,154000,fair,modest
418,68,F,85000,fair,comfortable
419,68,F,487000,good,comfortable
420,66,M,51000,good,comfortable
421,66,M,104000,good,modest
422,65,M,265000,good,modest
423,65,M,135000,good,comfortable
424,67,M,124000,good,comfortable
425,66,F,70000,good,comfortable
426,65,M,290000,fair,comfortable
427,70,F,318000,fair,comfortable
428,67,F,781000,poor,modest
429,70,M,260000,good,comfortable
430,66,M,111000,good,modest
431,67,F,86000,fair,comfortable
432,66,M,679000,poor,comfortable
433,66,F,74000,poor,comfortable
434,67,M,374000,fair,modest
435,67,F,1241000,poor,modest
436,70,M,1515000,good,modest
437,65,F,96000,good,modest
438,70,M,706000,good,comfortable
439,66,F,821000,fair,modest
440,69,F,92000,poor,modest
441,66,F,346000,poor,modest
442,67,M,199000,poor,modest
443,65,M,90000,good,comfortable
444,68,M,120000,good,modest
445,68,M,85000,good,modest
446,67,M,96000,good,comfortable
447,66,F,142000,good,modest
448,69,F,102000,good,modest
449,65,F,202000,good,modest
450,67,M,355000,fair,modest
451,69,M,145000,good,modest
452,67,M,212000,fair,comfortable
453,65,M,340000,poor,comfortable
454,65,M,715000,good,comfortable
455,65,M,151000,good,modest
456,69,F,518000,good,comfortable
457,65,F,271000,poor,comfortable
458,65,M,97000,good,modest
459,66,F,180000,good,modest
460,67,M,143000,fair,comfortable
461,65,M,431000,good,comfortable
462,65,M,411000,poor,comfortable
463,65,M,140000,good,modest
464,68,M,603000,good,modest
465,65,F,71000,poor,comfortable
466,68,F,153000,good,modest
467,67,F,186000,good,comfortable
468,67,M,116000,good,comfortable
469,69,M,432000,good,comfortable
470,68,F,1005000,fair,modest
471,68,F,225000,good,modest
472,66,F,776000,good,modest
473,67,F,367000,fair,comfortable
474,65,F,784000,good,comfortable
475,65,M,703000,fair,comfortable
476,67,M,165000,good,comfortable
477,65,M,330000,good,comfortable
478,67,M,221000,fair,comfortable
479,65,F,66000,fair,comfortable
480,67,F,112000,good,comfortable
481,68,F,103000,good,comfortable
482,69,F,1730000,good,comfortable
483,69,F,114000,good,comfortable
484,65,F,106000,poor,modest
485,67,F,364000,fair,modest
486,65,M,44000,good,comfortable
487,68,F,26000,fair,modest
488,66,M,166000,good,comfortable
489,67,F,197000,fair,modest
490,66,F,178000,fair,modest
491,68,F,190000,poor,comfortable
492,69,F,113000,poor,comfortable
493,65,F,230000,fair,comfortable
494,66,F,194000,poor,modest
495,65,M,265000,fair,modest
496,67,F,143000,fair,comfortable
497,67,F,216000,fair,modest
498,65,M,307000,good,modest
499,65,F,67000,good,comfortable
500,65,F,149000,poor,modest
501,67,F,207000,good,modest
502,65,M,122000,poor,modest
503,65,F,27000,good,comfortable
504,68,F,207000,good,modest
505,69,M,87000,poor,modest
506,69,F,603000,fair,modest
507,65,M,147000,fair,comfortable
508,66,F,118000,fair,comfortable
509,65,M,176000,good,modest
510,67,M,574000,fair,comfortable
511,66,M,232000,good,comfortable
512,66,F,239000,fair,comfortable
513,65,M,270000,fair,comfortable
514,65,M,201000,poor,modest
515,67,F,122000,good,comfortable
516,69,F,136000,good,comfortable
517,66,F,28000,fair,modest
518,65,F,119000,good,modest
519,67,M,180000,fair,modest
520,65,M,45000,poor,modest
521,67,M,26000,fair,modest
522,65,M,651000,good,comfortable
523,65,M,31000,fair,comfortable
524,66,M,62000,good,modest
525,68,M,194000,poor,modest
526,68,M,76000,fair,comfortable
527,66,F,270000,poor,comfortable
528,65,F,93000,fair,modest
529,69,M,269000,fair,modest
530,67,F,676000,fair,modest
531,66,F,139000,fair,modest
532,69,M,21000,fair,modest
533,65,F,212000,fair,modest
534,65,F,896000,good,comfortable
535,68,F,369000,good,comfortable
536,65,M,633000,fair,modest
537,67,F,386000,fair,modest
538,68,M,599000,good,comfortable
539,65,F,156000,good,comfortable
540,67,F,83000,fair,modest
541,66,F,262000,good,comfortable
542,68,F,103000,good,modest
543,66,F,160000,good,modest
544,66,F,23000,good,comfortable
545,70,M,81000,fair,comfortable
546,67,M,668000,good,modest
547,68,M,73000,good,modest
548,65,M,317000,good,comfortable
549,65,M,179000,good,comfortable
550,68,M,330000,good,modest
551,65,F,444000,fair,modest
552,66,F,218000,good,comfortable
553,67,M,452000,fair,comfortable
554,69,F,105000,fair,modest
555,67,F,137000,good,modest
556,67,M,1211000,good,comfortable
557,67,M,288000,poor,modest
558,69,M,133000,fair,modest
559,65,F,295000,good,comfortable
560,69,M,178000,good,modest
561,68,F,145000,good,comfortable
562,67,F,390000,good,comfortable
563,67,F,177000,good,modest
564,65,F,26000,good,comfortable
565,68,F,472000,good,modest
566,65,M,615000,fair,modest
567,65,M,207000,fair,modest
568,69,M,246000,poor,modest
569,66,M,28000,fair,modest
570,66,F,107000,fair,comfortable
571,67,M,67000,good,modest
572,67,M,197000,good,modest
573,66,F,425000,good,comfortable
574,70,F,57000,good,comfortable
575,65,M,224000,fair,modest
576,68,M,214000,poor,modest
577,69,F,144000,fair,modest
578,65,F,84000,good,comfortable
579,65,F,919000,good,comfortable
580,65,F,26000,good,comfortable
581,67,F,57000,good,comfortable
582,67,M,296000,good,modest
583,69,M,456000,fair,modest
584,65,M,357000,good,comfortable
585,66,F,67000,fair,modest
586,65,F,43000,fair,modest
587,66,M,62000,good,comfortable
588,69,M,735000,good,comfortable
589,67,F,322000,fair,comfortable
590,67,M,195000,fair,modest
591,66,M,36000,fair,comfortable
592,65,F,336000,good,modest
593,67,F,123000,good,comfortable
594,66,M,501000,good,comfortable
595,66,F,63000,fair,comfortable
596,68,M,153000,good,modest
597,66,F,197000,fair,modest
598,65,M,701000,good,modest
599,65,F,221000,fair,comfortable
600,68,M,308000,good,comfortable
601,65,M,212000,good,modest
602,65,F,303000,good,comfortable
603,68,F,423000,poor,modest
604,65,M,1065000,good,comfortable
605,65,F,224000,poor,comfortable
606,68,M,822000,good,comfortable
607,65,F,79000,poor,modest
608,68,F,95000,fair,comfortable
609,70,F,141000,poor,modest
610,67,M,778000,good,comfortable
611,65,M,107000,fair,modest
612,69,F,351000,fair,comfortable
613,65,M,190000,good,comfortable
614,69,M,78000,poor,modest
615,67,F,139000,good,modest
616,65,M,166000,good,modest
617,66,M,263000,good,modest
618,67,F,97000,good,comfortable
619,69,F,97000,good,comfortable
620,65,F,92000,good,modest
621,70,F,52000,poor,comfortable
622,68,F,291000,fair,comfortable
623,67,F,135000,good,modest
624,67,F,387000,good,modest
625,70,M,64000,fair,modest
626,66,M,356000,fair,comfortable
627,65,F,193000,good,comfortable
628,67,F,325000,good,modest
629,66,F,94000,fair,modest
630,69,F,87000,poor,modest
631,65,F,450000,poor,comfortable
632,65,F,588000,good,comfortable
633,65,M,130000,fair,comfortable
634,65,F,58000,good,comfortable
635,67,F,358000,good,comfortable
636,65,M,303000,fair,comfortable
637,67,M,228000,good,modest
638,68,M,177000,good,modest
639,68,F,356000,good,modest
640,70,M,197000,good,modest
641,65,F,106000,fair,modest
642,68,F,112000,good,modest
643,68,F,228000,fair,comfortable
644,69,F,72000,fair,comfortable
645,67,F,31000,good,modest
646,67,F,243000,good,modest
647,66,F,113000,good,comfortable
648,65,M,333000,good,modest
649,68,M,377000,fair,modest
650,66,M,155000,good,comfortable
651,67,F,95000,fair,modest
652,67,M,67000,good,comfortable
653,65,M,37000,good,modest
654,65,F,136000,good,modest
655,65,F,2457000,poor,comfortable
656,67,F,723000,good,modest
657,68,M,1762000,good,modest
658,66,M,196000,good,comfortable
659,65,F,59000,good,comfortable
660,67,M,130000,good,modest
661,66,M,45000,fair,modest
662,67,F,149000,fair,modest
663,65,M,213000,fair,modest
664,65,M,200000,fair,comfortable
665,67,M,319000,good,comfortable
666,70,F,59000,poor,modest
667,65,M,948000,good,comfortable
668,68,M,75000,poor,comfortable
669,68,F,160000,good,modest
670,65,M,411000,good,comfortable
671,66,F,1494000,good,modest
672,66,F,130000,good,comfortable
673,66,F,320000,fair,comfortable
674,65,M,178000,fair,comfortable
675,66,M,135000,fair,modest
676,67,M,90000,fair,comfortable
677,65,F,114000,good,comfortable
678,68,F,50000,poor,comfortable
679,68,M,425000,poor,comfortable
680,68,F,172000,good,comfortable
681,68,F,54000,fair,modest
682,67,M,156000,good,modest
683,66,F,279000,good,comfortable
684,65,F,85000,good,modest
685,65,M,171000,good,comfortable
686,65,F,181000,fair,modest
687,68,M,131000,fair,modest
688,65,M,333000,good,modest
689,65,M,184000,good,comfortable
690,66,F,47000,good,modest
691,65,M,216000,good,comfortable
692,67,F,198000,good,modest
693,67,M,55000,good,comfortable
694,69,M,281000,good,comfortable
695,66,F,537000,good,comfortable
696,69,F,161000,good,modest
697,66,F,196000,poor,modest
698,67,M,232000,good,comfortable
699,65,M,334000,good,modest
700,70,F,406000,good,modest
701,67,F,52000,good,modest
702,70,M,555000,fair,comfortable
703,66,F,118000,good,comfortable
704,70,M,39000,good,modest
705,67,M,85000,good,modest
706,66,M,368000,good,comfortable
707,66,M,634000,good,modest
708,68,F,87000,poor,comfortable
709,69,F,146000,good,modest
710,65,F,279000,good,comfortable
711,67,M,285000,fair,modest
712,68,F,158000,fair,comfortable
713,67,F,53000,good,modest
714,66,M,148000,good,modest
715,68,F,113000,good,comfortable
716,67,M,74000,good,modest
717,67,M,84000,good,comfortable
718,68,M,308000,good,modest
719,67,F,61000,good,comfortable
720,66,F,205000,good,comfortable
721,67,F,124000,fair,modest
722,65,M,97000,fair,modest
723,69,F,161000,poor,modest
724,66,M,175000,fair,modest
725,67,M,351000,good,modest
726,65,M,1158000,fair,modest
727,65,M,174000,fair,comfortable
728,67,M,362000,good,comfortable
729,65,M,122000,good,modest
730,67,F,102000,fair,modest
731,67,M,467000,good,comfortable
732,70,M,188000,poor,comfortable
733,67,F,80000,poor,modest
734,67,F,164000,good,modest
735,67,M,166000,fair,comfortable
736,65,F,28000,good,modest
737,65,F,238000,fair,comfortable
738,65,F,99000,fair,comfortable
739,67,M,189000,poor,modest
740,68,F,87000,fair,modest
741,66,M,221000,fair,comfortable
742,66,M,594000,good,comfortable
743,69,M,248000,fair,comfortable
744,67,M,150000,good,modest
745,66,F,383000,good,modest
746,68,M,688000,good,comfortable
747,65,F,178000,good,comfortable
748,70,M,286000,fair,modest
749,67,M,435000,good,comfortable
750,67,F,219000,fair,modest
751,66,M,103000,good,modest
752,65,F,227000,good,modest
753,65,F,239000,good,modest
754,66,M,184000,good,comfortable
755,65,F,130000,fair,comfortable
756,67,M,270000,fair,comfortable
757,67,M,192000,fair,comfortable
758,66,F,423000,good,modest
759,69,F,1336000,good,comfortable
760,68,M,641000,good,comfortable
761,66,F,182000,good,comfortable
762,66,M,663000,good,comfortable
763,67,F,2992000,good,modest
764,67,M,466000,fair,comfortable
765,67,F,190000,fair,modest
766,68,M,1923000,good,comfortable
767,65,M,1248000,good,modest
768,67,F,98000,good,comfortable
769,67,F,395000,poor,modest
770,66,M,776000,good,modest
771,67,F,339000,fair,comfortable
772,67,F,117000,good,modest
773,67,M,195000,good,comfortable
774,65,M,197000,poor,modest
775,66,M,146000,fair,modest
776,66,F,175000,good,modest
777,67,M,430000,good,comfortable
778,66,M,299000,good,comfortable
779,68,F,351000,good,comfortable
780,66,F,23000,fair,modest
781,66,F,353000,good,modest
782,66,M,144000,poor,comfortable
783,67,M,53000,good,modest
784,68,M,272000,good,modest
785,65,M,89000,fair,modest
786,65,F,179000,good,comfortable
787,67,F,133000,fair,modest
788,65,F,54000,fair,modest
789,67,F,25000,good,comfortable
790,65,M,83000,good,comfortable
791,67,M,105000,good,modest
792,65,M,725000,fair,comfortable
793,65,M,1340000,poor,comfortable
794,69,M,142000,good,comfortable
795,68,F,691000,fair,modest
796,67,F,47000,fair,comfortable
797,65,F,47000,good,modest
798,65,F,708000,poor,comfortable
799,65,M,400000,fair,comfortable
800,70,M,96000,poor,comfortable
801,65,M,60000,fair,modest
802,65,F,312000,good,modest
803,65,M,169000,poor,comfortable
804,66,F,41000,poor,comfortable
805,65,F,175000,good,comfortable
806,67,F,42000,poor,comfortable
807,70,F,146000,fair,comfortable
808,67,M,558000,fair,comfortable
809,67,F,97000,poor,modest
810,70,M,58000,fair,comfortable
811,65,F,119000,fair,comfortable
812,66,M,32000,fair,modest
813,67,F,202000,good,modest
814,67,F,403000,poor,modest
815,68,F,675000,good,comfortable
816,65,M,1145000,good,modest
817,66,M,299000,good,modest
818,68,F,138000,fair,comfortable
819,66,F,280000,fair,modest
820,70,M,315000,poor,comfortable
821,68,F,1138000,fair,modest
822,65,F,95000,fair,modest
823,65,M,467000,good,comfortable
824,65,F,22000,poor,modest
825,68,M,304000,fair,modest
826,70,F,181000,good,modest
827,67,M,415000,good,modest
828,67,F,53000,fair,modest
829,68,F,215000,good,comfortable
830,70,M,195000,fair,modest
831,65,M,175000,fair,comfortable
832,68,F,370000,good,comfortable
833,67,M,144000,fair,modest
834,66,M,538000,good,comfortable
835,69,F,133000,good,comfortable
836,70,M,118000,fair,modest
837,69,F,138000,good,comfortable
838,68,M,366000,good,comfortable
839,65,M,640000,poor,comfortable
840,65,M,849000,good,modest
841,69,M,244000,fair,modest
842,65,M,167000,good,modest
843,68,F,390000,good,comfortable
844,68,F,58000,good,modest
845,67,F,36000,fair,comfortable
846,68,F,101000,fair,comfortable
847,69,F,113000,good,modest
848,67,M,1966000,good,comfortable
849,65,M,115000,good,modest
850,65,M,315000,poor,modest
851,66,F,825000,poor,modest
852,65,M,148000,fair,modest
853,66,F,143000,good,comfortable
854,67,M,84000,fair,comfortable
855,70,M,190000,poor,modest
856,65,M,61000,good,comfortable
857,67,M,222000,good,modest
858,65,M,306000,good,comfortable
859,67,F,1141000,good,modest
860,68,F,73000,good,comfortable
861,65,M,132000,good,comfortable
862,65,M,526000,good,modest
863,66,F,66000,good,comfortable
864,66,F,100000,good,modest
865,69,F,110000,good,modest
866,65,F,59000,good,modest
867,70,M,236000,fair,comfortable
868,67,F,41000,good,modest
869,66,M,356000,good,comfortable
870,65,F,168000,fair,modest
871,65,F,71000,poor,comfortable
872,65,F,374000,good,modest
873,70,F,293000,poor,comfortable
874,68,F,567000,poor,modest
875,65,M,83000,fair,comfortable
876,70,F,237000,good,comfortable
877,67,F,608000,good,modest
878,67,F,328000,fair,modest
879,65,F,421000,fair,comfortable
880,66,F,225000,good,modest
881,65,M,533000,fair,comfortable
882,66,M,294000,good,comfortable
883,65,M,71000,poor,modest
884,65,F,34000,good,modest
885,70,M,226000,good,modest
886,67,M,316000,fair,comfortable
887,67,F,157000,good,modest
888,65,M,100000,good,comfortable
889,68,M,224000,fair,comfortable
890,66,F,565000,good,comfortable
891,69,M,402000,good,comfortable
892,68,F,71000,good,modest
893,67,F,248000,fair,comfortable
894,65,F,400000,good,modest
895,65,F,456000,fair,comfortable
896,69,F,68000,good,comfortable
897,70,M,153000,good,comfortable
898,67,F,32000,good,modest
899,65,F,617000,poor,modest
900,66,F,256000,fair,modest
